306,Stryker
307,Group 1 Automotive
308,Cognizant Technology Solutions
309,Sonic Automotive
310,Autoliv
311,Hormel Foods
312,Motorola Solutions
313,Crown Holdings
314,SunTrust Banks
315,Campbell Soup
316,Fidelity National Financial
317,HD Supply Holdings
318,Caesars Entertainment
319,Darden Restaurants
320,Weyerhaeuser
321,Ball
322,Precision Castparts
323,Masco
324,Universal Health Services
325,Republic Services
326,MasterCard
327,Newmont Mining
328,Broadcom
329,Reynolds American
330,Phillips-Van Heusen
331,Charter Communications
332,AECOM Technology
333,CenterPoint Energy
333,Pacific Life
335,Thrivent Financial for Lutherans
336,"Becton, Dickinson and Company"
337,Franklin Resources
338,Tenneco Automotive
339,TravelCenters of America
340,Avis Budget Group
341,Facebook
342,Dollar Tree
343,Corning
344,Ashland
345,Sealed Air
346,Core-Mark Holding
347,Oshkosh Truck
348,Coca-Cola Enterprises
349,WESCO International
350,Applied Materials
351,Visteon
352,BorgWarner
353,Spectrum Group International
354,Oaktree Capital Group
355,Steel Dynamics
356,Jarden
357,Mohawk Industries
358,Terex
359,Northeast Utilities
360,KBR
361,Fifth Third Bank
362,UGI Corporation
363,CBRE Group
364,Quest Diagnostics
365,Peabody Energy
366,Hershey Foods
367,Boston Scientific
368,FMC Technologies
369,Interpublic Group
370,Commercial Metals
371,The Pantry
372,Owens-Illinois
373,American Family Insurance
374,Ralph Lauren
375,Biogen Idec
376,PetSmart
377,Mylan
378,Symantec
379,Ameren
380,The Williams Companies
381,Barnes & Noble
382,Huntington Ingalls Industries
383,Priceline.com
384,Agilent Technologies
385,Dana Holding
386,Dillard's
387,Seaboard
388,Vanguard Health
389,Casey's General Stores
390,O'Reilly Automotive
391,The Blackstone Group
392,Mutual of Omaha
393,Molina Healthcare
394,CMS Energy
395,Targa Resources
396,Quanta Services
397,Cablevision
398,Avery Dennison
399,Celanese
400,Foot Locker
401,Celgene
402,Advance Auto Parts
403,Mattel
404,Live Nation Entertainment
405,General Cable
406,Ryder System
407,EMCOR Group
408,Allergan
409,W.R. Berkley
410,Rockwell Automation
411,NetApp
412,Ingredion
413,Level 3 Communications
414,Calpine
415,Omnicare
416,Erie Insurance
417,SLM
418,D.R. Horton
419,CC Media Holdings
420,Anixter
421,Dick's Sporting Goods
422,SanDisk
423,NCR
424,Starwood Hotels
425,Expeditors International of Washington
426,Fidelity National Information Services
427,United Natural Foods
428,Auto-Owners Insurance Group
429,Windstream
430,Dr. Pepper Snapple
