"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"El Segundo","2","Consumer Products & Services","fuhu","CA","195640000","California","Los Angeles","1","Fuhu","158956.9106","22890","227"
"El Segundo","1","Food & Beverage","quest-nutrition","CA","82640563","California","Los Angeles","2","Quest Nutrition","57347.9246","25747","191"
"Arlington","1","Business Products & Services","reliant-asset-management","VA","85076502","Virginia","Washington, DC","3","Reliant Asset Management","55460.1646","25643","145"
"Palo Alto","1","Software","superfish","CA","35293000","California","San Jose","4","Superfish","26042.963","26098","62"
"Maynard","1","Telecommunications","acacia-communications","MA","77652360","Massachusetts","Boston","5","Acacia Communications","20690.4578","26182","92"
"Auburn","2","Energy","provider-power","ME","137977203","Maine","Lewiston-Auburn, ME","6","Provider Power","19876.5169","22913","50"
"South San Francisco","2","Health","crescendo-bioscience","CA","27308000","California","San Francisco","7","Crescendo Bioscience","18375.0693","22937","129"
"Scottsdale","1","Health","plexus-worldwide","AZ","159897088","Arizona","Phoenix","8","Plexus Worldwide","16457.6529","25413","130"
"Portland","1","Travel & Hospitality","vacasa","OR","26263454","Oregon","Portland, OR","9","Vacasa","16192.061","26079","264"
"Wilmington","1","Energy","go-energies","NC","32851754","North Carolina","Wilmington, NC","10","Go Energies","16006.8013","25861","11"
"Boulder","1","Consumer Products & Services","minute-key","CO","15782039","Colorado","Boulder, CO","11","Minute Key","14588.3448","25231","113"
"Lenexa","1","Business Products & Services","sainstore","KS","19243863","Kansas","Waterloo-Cedar Falls, IA","12","Sainstore","14086.513","26450","135"
"Jacksonville","2","Health","the-hci-group","FL","34583142","Florida","Jacksonville, FL","13","The HCI Group","13230.9467","22892","153"
"Palmetto","1","Health","dynamic-dental-partners-group","FL","19802935","Florida","Sarasota-Bradenton-Venice, FL","14","Dynamic Dental Partners Group","12895.5867","26223","313"
"Raleigh","1","Food & Beverage","aseptia","NC","13887650","North Carolina","Raleigh-Cary, NC","15","Aseptia","12427.4225","25021","159"
"Honolulu","1","Health","asentra-health","HI","20445071","Hawaii","Honolulu, HI","16","Asentra Health","12127.9133","26535","34"
"Los Angeles","1","Energy","american-solar-direct","CA","52086567","California","Los Angeles","17","American Solar Direct","11560.3538","24632","436"
"McLean","1","Government Services","prescient-edge","VA","12315210","Virginia","Washington, DC","18","Prescient Edge","11497.7718","26246","42"
"Scottsdale","2","Financial Services","bluesquare-resolutions","AZ","46400872","Arizona","Phoenix","19","BlueSquare Resolutions","11488.6004","22962","27"
"Fairhope","1","Engineering","bes-designbuild","AL","11819161","Alabama","Daphne-Fairhope-Foley, AL","20","BES Design/Build","11374.9136","25398","44"
"Austin","1","Financial Services","simpler-trading","TX","11260000","Texas","Austin","21","Simpler Trading","10522.6415","25290","12"
"Richmond","1","Food & Beverage","sweetfrog-premium-frozen-yogurt","VA","34382478","Virginia","Richmond, VA","22","sweetFrog Premium Frozen Yogurt","10371.7994","24803","790"
"Tempe","1","Financial Services","base-commerce","AZ","12479598","Arizona","Phoenix","23","Base Commerce","10186.259","25925","17"
"Dallas","1","IT Services","cpsg-partners","TX","17095000","Texas","Dallas","24","CPSG Partners","9531.6371","25323","102"
"Tampa","1","Health","medhok","FL","17037000","Florida","Tampa","25","MedHOK","9109.1892","25679","102"
"Miami","1","Advertising & Marketing","showroom-logic","FL","13443409","Florida","Miami","26","Showroom Logic","8448.5785","25524","90"
"Morrisville","1","Consumer Products & Services","weveel","PA","9007000","Pennsylvania","Dallas","27","WeVeel","8239.8148","25360","27"
"Westlake Village","1","Consumer Products & Services","packit","CA","11874148","California","Los Angeles","28","PackIt","7877.9544","25764","10"
"Scottsdale","1","Financial Services","american-retirement-advisors","AZ","13876488","Arizona","Phoenix","29","American Retirement Advisors","7758.1594","25317","8"
"Indianapolis","1","Business Products & Services","highpoint-global","IN","95810719","Indiana","Indianapolis, IN","30","HighPoint Global","7638.5408","26342","200"
"Columbia","1","Advertising & Marketing","adkarma","MO","13326503","Missouri","Columbia, MO","31","AdKarma","7635.2397","24949","33"
"Berkeley Heights","1","IT Services","axtria","NJ","8963909","New Jersey","New York City","32","Axtria","7351.2959","25188","176"
"San Francisco","1","Retail","dolls-kill","CA","7585000","California","San Francisco","33","Dolls Kill","7055.6604","25240","24"
"New York","1","Business Products & Services","centric-digital","NY","18045419","New York","New York City","34","Centric Digital","6898.4173","25357","140"
"Troy","1","Financial Services","retail-capital","MI","7013359","Michigan","Detroit","35","Retail Capital","6861.3577","25522","55"
"Madison","2","Health","restore-health","WI","6821205","Wisconsin","Madison, WI","36","Restore Health","6663.1769","22949","61"
"North Richland Hills","1","Financial Services","openroad-lending","TX","8853881","Texas","Dallas","37","OpenRoad Lending","6603.3722","25527","53"
"New Orleans","1","Government Services","pontchartrain-partners","LA","10545091","Louisiana","New Orleans-Metairie-Kenner, LA","38","Pontchartrain Partners","6535.0538","25755","25"
"Chevy Chase","1","Consumer Products & Services","team-extreme-marketing-international","MD","6772856","Maryland","Washington, DC","39","Team Extreme Marketing International","6369.1921","25634","1"
"Des Moines","1","Energy","choice-energy","IA","20894369","Iowa","Des Moines-West Des Moines, IA","40","Choice Energy","6020.9548","25306","4"
"New York","1","Advertising & Marketing","revimedia","NY","5963105","New York","New York City","41","ReviMedia","5817.1289","26117","24"
"Pleasanton","1","Software","smartzip-analytics","CA","11396150","California","San Francisco","42","SmartZip Analytics","5811.3568","26490","96"
"Huntsville","1","Government Services","thompson-gray","AL","14104761","Alabama","Huntsville, AL","43","Thompson Gray","5752.5251","25659","48"
"Norman","1","IT Services","mcsg-technologies","OK","7686703","Oklahoma","Oklahoma City, OK","44","MCSG Technologies","5715.2859","26179","147"
"Tyler","1","Security","innovative-surveillance-solutions","TX","10247444","Texas","Tyler, TX","45","Innovative Surveillance Solutions","5604.7826","25965","20"
"Madison","1","Health","nordic","WI","81410104","Wisconsin","Madison, WI","46","Nordic","5593.0143","25677","379"
"Richmond","1","Real Estate","michigan-realty-solutions","MI","6178120","Michigan","Detroit","47","Michigan Realty Solutions","5530.8057","25385","40"
"Enon","1","Real Estate","ohio-investments","OH","23809245","Ohio","Springfield, OH","48","Ohio Investments","5507.4529","25931","17"
"New York","1","Retail","adore-me","NY","5637838","New York","New York City","49","Adore Me","5505.55","25654","30"
"Sunrise","1","Health","iq-formulations","FL","8269660","Florida","Miami","50","IQ Formulations","5486.2116","26146","35"
"Chicago","1","Software","max-digital","IL","6577541","Illinois","Chicago","51","MAX Digital","5483.1298","26092","32"
"New Orleans","1","Construction","maxhome","LA","5792929","Louisiana","New Orleans-Metairie-Kenner, LA","52","MaxHome","5438.9673","25699","50"
"Cranston","5","Retail","alex-and-ani","RI","230109687","Rhode Island","Providence-New Bedford-Fall River, RI-MA","53","Alex and Ani","5220.9165","17948","1106"
"New York","1","Advertising & Marketing","crowdtap","NY","6261593","New York","New York City","54","Crowdtap","5217.2043","25453","46"
"Elgin","1","Manufacturing","compass-automation","IL","5703235","Illinois","Chicago","55","Compass Automation","5214.2331","25107","30"
"San Diego","1","Real Estate","multifamily-utility","CA","5757194","California","San Diego","56","Multifamily Utility","5196.0656","25445","35"
"Scottsdale","3","Health","the-joint","AZ","5958067","Arizona","Phoenix","57","The Joint","5139.4732","21041","19"
"San Francisco","1","Software","bizness-apps","CA","6178728","California","San Francisco","58","Bizness Apps","5078.5874","26233","70"
"Los Angeles","1","Manufacturing","ecosense-lighting","CA","15363997","California","Los Angeles","59","EcoSense Lighting","5059.1489","25846","59"
"San Diego","1","Consumer Products & Services","photobin","CA","6385268","California","San Diego","60","PhotoBin","5003.4376","26043","61"
"Fort Worth","1","Advertising & Marketing","pmg-worldwide","TX","5764577","Texas","Dallas","61","PMG Worldwide","5000.4026","25914","44"
"Englewood","3","Financial Services","victor-securities","NJ","6494832","New Jersey","New York City","62","Victor Securities","4897.024","21105","19"
"Irving","1","IT Services","elan-technologies","TX","9149555","Texas","Dallas","63","eLan Technologies","4863.7089","24951","89"
"Maple Glen","1","Financial Services","centennial-lending-group","PA","166889598","Pennsylvania","Philadelphia","64","Centennial Lending Group","4845.0294","25166","41"
"Brooklyn","1","Health","tough-mudder","NY","107900476","New York","New York City","65","Tough Mudder","4737.5104","26157","143"
"Laguna Niguel","3","Software","netcom3-global","CA","30058088","California","Los Angeles","66","Netcom3 Global","4724.7797","21440","40"
"Huntsville","1","Government Services","gideon-services","AL","23252268","Alabama","Huntsville, AL","67","Gideon Services","4723.0413","26204","3"
"Washington","2","Government Services","viderity","DC","18327000","District of Columbia","Washington, DC","68","Viderity","4722.8947","22983","34"
"Waltham","1","Software","affectiva","MA","5017670","Massachusetts","Boston","69","Affectiva","4676.4588","25774","37"
"Cambridge","1","Advertising & Marketing","adharmonics","MA","45929345","Massachusetts","Boston","70","AdHarmonics","4669.4024","24877","40"
"Miramar","2","IT Services","acordis-international","FL","6000834","Florida","Miami","71","Acordis International","4638.7226","23088","28"
"Sonoma","1","Food & Beverage","krave-pure-foods","CA","16940863","California","Napa, CA","72","KRAVE Pure Foods","4632.0582","26510","40"
"Austin","1","Advertising & Marketing","main-street-hub","TX","9157664","Texas","Austin","73","Main Street Hub","4625.3168","25018","175"
"East Greenwich","1","Energy","first-point-power","RI","23499000","Rhode Island","Providence-New Bedford-Fall River, RI-MA","74","First Point Power","4355.2259","26093","4"
"Scottsdale","1","Advertising & Marketing","ethology","AZ","8815804","Arizona","Phoenix","75","Ethology","4219.4187","26181","64"
"Brooklyn","2","Travel & Hospitality","regal-wings","NY","54355000","New York","New York City","76","Regal Wings","4146.4844","22998","126"
"Hopkinton","1","Energy","solect-energy-development","MA","12477972","Massachusetts","Boston","77","Solect Energy Development","4101.3374","25843","23"
"Burleson","1","Construction","old-pro-roofing","TX","4897229","Texas","Dallas","78","Old Pro Roofing","4076.4206","25910","16"
"Manhattan Beach","1","Advertising & Marketing","clean-energy-experts","CA","6058237","California","Los Angeles","79","Clean Energy Experts","4063.5937","25062","53"
"Pompano Beach","1","Retail","logoupcom","FL","8003961","Florida","Miami","80","LogoUp.com","4062.0098","25618","32"
"Washington","1","IT Services","analytica","DC","15010399","District of Columbia","Washington, DC","81","ANALYTICA","4056.1632","25868","28"
"Austin","2","Software","phunware","TX","22119065","Texas","Austin","82","Phunware","4040.0382","22919","131"
"Redwood City","1","Consumer Products & Services","icracked","CA","7315850","California","San Francisco","83","iCracked","4033.2486","25510","39"
"Long Island City","1","Consumer Products & Services","buybackworld","NY","4139786","New York","New York City","84","BuyBackWorld","4011.2131","25545","13"
"Washington","1","Advertising & Marketing","tahzoo","DC","5693350","District of Columbia","Washington, DC","85","Tahzoo","3946.3888","25518","49"
"Salt Lake City","1","Health","connexion-point","UT","18286053","Utah","Salt Lake City","86","Connexion Point","3943.8155","24946","1250"
"Fort Wayne","1","Business Products & Services","meister-cook","IN","7707138","Indiana","Fort Wayne, IN","87","Meister Cook","3943.004","25892","2"
"Seattle","2","Advertising & Marketing","tune","WA","18904275","Washington","Seattle","88","TUNE","3939.4786","22933","150"
"Malvern","1","Construction","constructure-management","PA","33167746","Pennsylvania","Philadelphia","89","Constructure Management","3929.4614","25880","28"
"Lee's Summit","1","Real Estate","pendo-management-group","MO","8471671","Missouri","Kansas City, MO-KS","90","Pendo Management Group","3877.8706","25212","14"
"St. Louis","1","IT Services","gemini-consulting-services","MO","6469651","Missouri","St. Louis, MO-IL","91","Gemini Consulting & Services","3869.7686","25460","45"
"Boston","2","Energy","next-step-living","MA","58009000","Massachusetts","Boston","92","Next Step Living","3859.6587","22952","764"
"Beverly Hills","1","Financial Services","fastpay","CA","5061986","California","Los Angeles","93","FastPay","3824.8721","25047","26"
"Jacksonville","1","Consumer Products & Services","early-upgrade","FL","18068816","Florida","Jacksonville, FL","94","Early Upgrade","3745.689","26166","6"
"Farmington Hills","1","IT Services","yochana-it-solutions","MI","5637285","Michigan","Detroit","95","Yochana IT Solutions","3694.0309","25745","90"
"Falls Church","1","Health","american-care-partners","VA","6580396","Virginia","Washington, DC","96","American Care Partners","3656.7915","25698","192"
"Berwyn","1","Financial Services","prepay-nation","PA","110914763","Pennsylvania","Philadelphia","97","Prepay Nation","3637.1336","25126","10"
"The Colony","1","Telecommunications","peg-bandwidth","TX","32895443","Texas","Dallas","98","PEG Bandwidth","3612.7746","25287","115"
"Bronx","1","Energy","global-energy-efficiency","NY","12860765","New York","New York City","99","Global Energy Efficiency","3588.5841","26456","108"
"Itasca","1","Health","launchpoint","IL","12899943","Illinois","Chicago","100","LaunchPoint","3544.2164","26317","72"
"Mequon","1","Retail","equipatron","WI","5284863","Wisconsin","Milwaukee-Waukesha-West Allis, WI","101","Equipatron","3543.1","24794","7"
"Charlottesville","1","Computer Hardware","govsmart","VA","25433653","Virginia","Charlottesville, VA","102","GovSmart","3532.3775","25791","12"
"Portland","1","Retail","the-clymb","OR","64460000","Oregon","Portland, OR","103","The Clymb","3531.5493","26531","90"
"Salt Lake City","1","Health","alliance-health","UT","85596581","Utah","Salt Lake City","104","Alliance Health","3490.2076","26329","380"
"San Francisco","1","Software","inkling","CA","8149000","California","San Francisco","105","Inkling","3443.0435","26379","100"
"Warrenton","1","Government Services","patriot-group-international","VA","24073472","Virginia","Culpeper, VA","106","Patriot Group International","3401.9117","24947","80"
"Chicago","1","Insurance","insureon","IL","11844049","Illinois","Chicago","107","Insureon","3357.8136","25461","65"
"Granville","2","Advertising & Marketing","revlocal","OH","7268587","Ohio","Columbus, OH","108","RevLocal","3341.7125","23215","146"
"Murrieta","1","Energy","apex-fuels","CA","134567633","California","Riverside-San Bernardino-Ontario, CA","109","Apex Fuels","3323.5318","26392","37"
"Sunnyvale","1","Software","multicoreware","CA","7686082","California","San Jose","110","Multicoreware","3322.105","25606","200"
"Boca Raton","1","Health","mobilehelp","FL","18661656","Florida","Miami","111","MobileHelp","3304.8214","26420","87"
"Boise","1","Human Resources","ataraxis","ID","40765844","Idaho","Boise City-Nampa, ID","112","Ataraxis","3277.519","26464","12"
"Sherman Oaks","1","Financial Services","fortress-gold-group","CA","9809304","California","Los Angeles","113","Fortress Gold Group","3257.9707","25241","15"
"Los Angeles","2","Advertising & Marketing","adcolony","CA","52783000","California","Los Angeles","114","AdColony","3236.4728","23197","73"
"New York","1","Advertising & Marketing","integral-ad-science","NY","23442470","New York","New York City","115","Integral Ad Science","3231.6852","26395","87"
"West Windsor","2","IT Services","technomax","NJ","4002379","New Jersey","Trenton-Ewing, NJ","116","Technomax","3225.0636","23076","18"
"Reston","1","Health","hcentive","VA","26493445","Virginia","Washington, DC","117","hCentive","3214.4606","25855","458"
"Rochelle Park","2","Logistics & Transportation","intelligent-audit","NJ","318842114","New Jersey",,"118","Intelligent Audit","3122.0588","22903","14"
"Cambridge","1","Security","simplisafe-home-security","MA","38454825","Massachusetts","Boston","119","SimpliSafe Home Security","3075.8406","26332","60"
"Charlotte","1","Business Products & Services","boxman-studios","NC","4322910","North Carolina","Charlotte","120","Boxman Studios","3074.0826","25436","43"
"New York","1","Consumer Products & Services","seatgeek","NY","12274000","New York","New York City","121","SeatGeek","3039.1304","26277","30"
"Los Gatos","1","Media","smashwords","CA","22037828","California","San Jose","122","Smashwords","3018.5723","24847","23"
"Baltimore","3","Government Services","securityhunter","MD","35931650","Maryland","Baltimore","123","Securityhunter","2998.3413","21756","18"
"Salt Lake City","3","Health","vrx","UT","89554237","Utah","Salt Lake City","124","VRx","2987.2957","21024","74"
"Miami","1","Retail","smacktomcom","FL","3125000","Florida","Miami","125","SmackTom.com","2963.7255","25425","42"
"Oviedo","1","Software","virtual-fleet-supervisor","FL","3526101","Florida","Orlando, FL","126","Virtual Fleet Supervisor","2948.8362","25034","10"
"Miami","1","Health","carecloud","FL","10455000","Florida","Miami","127","CareCloud","2939.6153","25283","262"
"New York","1","Advertising & Marketing","fueled","NY","6486000","New York","New York City","128","Fueled","2916.7442","24789","64"
"Westminster","1","Retail","bobs-watches","CA","11101120","California","Los Angeles","129","Bob's Watches","2861.191","26484","14"
"Howard Beach","1","Advertising & Marketing","cpa-trend","NY","5826876","New York","New York City","130","CPA Trend","2842.941","24852","6"
"Austin","1","Human Resources","jobs2careers","TX","22359716","Texas","Austin","131","Jobs2Careers","2829.7514","25054","17"
"Irvine","3","Advertising & Marketing","29-prime","CA","20289054","California","Los Angeles","132","29 Prime","2790.9199","20998","200"
"Farmington Hills","2","IT Services","prolim","MI","5129970","Michigan","Detroit","133","Prolim","2756.9034","21178","180"
"Orlando","1","Government Services","loyal-source-government-services","FL","55980536","Florida","Orlando, FL","134","Loyal Source Government Services","2753.5176","24677","867"
"Parsippany","2","Advertising & Marketing","marketsmith","NJ","72908666","New Jersey","New York City","135","Marketsmith","2752.5555","23162","24"
"West Lafayette","1","Education","project-management-academy","IN","8094996","Indiana",,"136","Project Management Academy","2752.4901","25279","18"
"Pittsburgh","1","Advertising & Marketing","flying-cork-media","PA","7502709","Pennsylvania","Pittsburgh, PA","137","Flying Cork Media","2745.4166","24932","25"
"Irving","1","IT Services","motivity-labs","TX","3225899","Texas","Dallas","138","Motivity Labs","2716.0018","24888","160"
"San Francisco","1","Telecommunications","twilio","CA","51720000","California","San Francisco","139","Twilio","2710.8696","26263","232"
"Upper Arlington","1","Real Estate","signature-closers","OH","3843580","Ohio","Columbus, OH","140","Signature Closers","2709.3881","25095","20"
"Charleston","1","Advertising & Marketing","purecars","SC","8725985","South Carolina","Charleston-North Charleston, SC","141","PureCars","2689.9672","25749","81"
"Waltham","1","Education","the-cambridge-institute-of-international-education","MA","9784000","Massachusetts","Boston","142","The Cambridge Institute of International Education","2683.3172","25236","96"
"Deerfield","1","Software","market6","IL","15085838","Illinois","Chicago","143","Market6","2677.1957","25237","53"
"San Francisco","1","Advertising & Marketing","liveramp","CA","21040412","California","San Francisco","144","LiveRamp","2665.2479","25594","53"
"New York","1","Consumer Products & Services","myclean","NY","4399793","New York","New York City","145","MyClean","2646.4033","25620","160"
"San Francisco","1","Education","presencelearning","CA","5906000","California","San Francisco","146","PresenceLearning","2634.2593","26220","35"
"Atlanta","1","Real Estate","residential-capital-management","GA","30167124","Georgia","Atlanta","147","Residential Capital Management","2626.018","26517","140"
"St. Charles","1","Business Products & Services","total-technology-solutions-group","IL","3115496","Illinois","Chicago","148","Total Technology Solutions Group","2608.0908","25293","14"
"American Fork","1","Real Estate","buy-pd","UT","79837059","Utah","Provo-Orem, UT","149","Buy PD","2606.3465","25025","98"
"Bluffdale","2","Consumer Products & Services","goal-zero","UT","34249000","Utah","Salt Lake City","150","Goal Zero","2598.7288","22898","120"
"Fishers","2","Financial Services","advocate-merchant-solutions","IN","4531348","Indiana","Indianapolis, IN","151","Advocate Merchant Solutions","2573.062","22864","89"
"Los Angeles","4","Consumer Products & Services","sky-zone-indoor-trampoline-park","CA","88183962","California","Los Angeles","152","Sky Zone Indoor Trampoline Park","2571.0587","20327","2200"
"Overland PArk","1","Advertising & Marketing","avenue-link","KS","6360103","Kansas","Kansas City, MO-KS","153","Avenue Link","2564.509","26205","11"
"Virginia Beach","1","Government Services","incredible-supply-logistics","VA","7422000","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC","154","Incredible Supply & Logistics","2550.7143","25975","12"
"Maitland","1","Business Products & Services","resell","FL","4728621","Florida","Orlando, FL","155","ReSell","2545.6932","26126","14"
"Florence","1","Logistics & Transportation","legion-logistics","KY","15115027","Kentucky","Cincinnati","156","Legion Logistics","2545.2064","25004","29"
"Encino","1","Financial Services","graypay","CA","2981762","California","Los Angeles","157","GrayPay","2539.989","25205","11"
"Washington","1","Real Estate","urban-investment-group","DC","4822398","District of Columbia","Washington, DC","158","Urban Investment Group","2526.0778","26496","1"
"Hoboken","1","Security","sphere-technology-solutions","NJ","3595000","New Jersey","New York City","159","SPHERE Technology Solutions","2524.0876","25206","12"
"Hamilton","1","Food & Beverage","bai-brands","NJ","17139891","New Jersey","Trenton-Ewing, NJ","160","Bai Brands","2521.6684","26135","64"
"Salem","1","Business Products & Services","rocketdrop","NH","72626345","New Hampshire","Boston","161","RocketDrop","2518.6981","26268","15"
"Westlake","3","Health","echo-health","OH","46984261","Ohio","Cleveland","162","ECHO Health","2509.1757","21880","24"
"Kilmarnock","1","Government Services","marathon-ts","VA","6821409","Virginia",,"163","Marathon TS","2507.7517","25153","75"
"Sherman Oaks","2","Media","audiomicro","CA","5426086","California","Los Angeles","164","AudioMicro","2495.6297","23033","8"
"Lakewood","1","Business Products & Services","led-supply","CO","2877743","Colorado","Denver","165","LED Supply","2474.0559","25024","6"
"Glen Allen","1","Real Estate","legault-homes","VA","7660396","Virginia","Richmond, VA","166","LeGault Homes","2455.075","26487","6"
"Evanston","1","Financial Services","forte-international-tax","IL","3475711","Illinois","Chicago","167","Forte International Tax","2447.3722","25384","9"
"Lemon Grove","1","Construction","paradigm-mechanical","CA","5250000","California","San Diego","168","Paradigm Mechanical","2439.5443","25488","31"
"Santa Ana","2","Financial Services","finance-store","CA","4590707","California","Los Angeles","169","Finance Store","2436.3022","22992","45"
"Topsfield","1","Advertising & Marketing","pure-incubation","MA","4696917","Massachusetts","Boston","170","Pure Incubation","2427.7792","25512","27"
"Austin","1","Food & Beverage","kohana-coffee","TX","2825786","Texas","Austin","171","Kohana Coffee","2416.7762","25313","10"
"Cupertino","1","Advertising & Marketing","ensighten","CA","8277000","California","San Jose","172","Ensighten","2415.8055","26221","107"
"San Diego","1","Health","pathway-genomics","CA","14426053","California","San Diego","173","Pathway Genomics","2415.5285","26167","123"
"Dallas","1","Health","censeohealth","TX","117230240","Texas","Dallas","174","CenseoHealth","2406.9499","24957","325"
"Miami","1","Advertising & Marketing","3aworldwide","FL","57568000","Florida","Miami","175","3A/WorldWide","2402.7683","26180","270"
"Los Angeles","1","Advertising & Marketing","180fusion","CA","6662008","California","Los Angeles","176","180Fusion","2379.1819","25374","90"
"Gaithersburg","1","IT Services","kamis","MD","3058705","Maryland","Washington, DC","177","Kamis","2368.9874","25065","47"
"McDonough","1","Energy","apex-controls","GA","7789273","Georgia","Atlanta","178","Apex Controls","2360.0708","26239","35"
"Albuquerque","1","Software","inksoft","NM","2488706","New Mexico","Albuquerque, NM","179","InkSoft","2347.731","25141","16"
"Atlanta","1","IT Services","futurewave-systems","GA","2768000","Georgia","Atlanta","180","Futurewave Systems","2342.899","25603","19"
"San Francisco","1","Retail","6-pack-fitness","CA","6310305","California","San Francisco","181","6 Pack Fitness","2336.4112","25765","20"
"Los Angeles","1","Health","genzum-life-sciences","CA","8561253","California","Los Angeles","182","Genzum Life Sciences","2333.3009","26546","10"
"Livermore","1","Education","proctoru","CA","6435816","California","San Francisco","183","ProctorU","2312.1435","24923","247"
"Jacksonville","1","Construction","dakenna-development","FL","8270918","Florida","Jacksonville, FL","184","Dakenna Development","2302.5208","26360","19"
"Palo Alto","1","Software","duda","CA","5532830","California","San Jose","185","Duda","2299.954","25181","68"
"Glen Mills","1","Environmental Services","holganix","PA","4306568","Pennsylvania","Philadelphia","186","Holganix","2291.3554","25403","35"
"Novi","1","IT Services","nits-solutions","MI","2775411","Michigan","Detroit","187","NITS Solutions","2291.3176","25128","15"
"Chicago","1","Real Estate","paramount-lodging-advisors","IL","2465605","Illinois",,"188","Paramount Lodging Advisors","2288.3653","25869","18"
"Anaheim","1","Retail","emazinglights","CA","5842010","California","Los Angeles","189","EmazingLights","2281.335","25783","35"
"Pittsburgh","1","Advertising & Marketing","level-interactive","PA","11958616","Pennsylvania","Pittsburgh, PA","190","Level Interactive","2258.7014","26528","35"
"Redwood City","1","Retail","shopkick","CA","26319118","California","San Francisco","191","shopkick","2250.0409","26255","75"
"Ann Arbor","1","IT Services","tekwissen","MI","7802802","Michigan","Ann Arbor, MI","192","TekWissen","2236.1753","25486","129"
"Mount Pleasant","1","Computer Hardware","vpcinnovations","WI","5390952","Wisconsin","Chicago","193","VPCinnovations","2234.3619","25501","15"
"Boulder","1","Energy","clean-energy-collective","CO","9453000","Colorado","Boulder, CO","194","Clean Energy Collective","2216.9118","25433","42"
"Dalworthington Garden","1","Construction","silver-bullet-construction","TX","2524000","Texas","Dallas","195","Silver Bullet Construction","2215.5963","26030","13"
"Chantilly","1","Government Services","aegis-corps","VA","2900488","Virginia","Washington, DC","196","Aegis Corps","2208.3868","26326","48"
"Orlando","2","Retail","ubreakifix","FL","26472870","Florida","Orlando, FL","197","uBreakiFix","2188.8349","22899","300"
"San Antonio","1","Business Products & Services","cultureservicegrowth","TX","7993065","Texas","San Antonio, TX","198","Culture.Service.Growth.","2182.0898","25037","302"
"Brick","3","Consumer Products & Services","cardcashcom","NJ","55788000","New Jersey","New York City","199","CardCash.com","2181.7178","21023","72"
"Chicago","1","Food & Beverage","protein-bar","IL","14211083","Illinois","Chicago","200","Protein Bar","2181.6917","26083","450"
"Alexandria","1","Government Services","metis-solutions","VA","8686766","Virginia","Washington, DC","201","Metis Solutions","2170.6344","25722","45"
"Overland Park","1","Health","title-boxing-club","KS","34252000","Kansas","Kansas City, MO-KS","202","Title Boxing Club","2168.421","25130","17"
"Seaside","2","IT Services","vets-etc","CA","6480926","California","Salinas, CA","203","VETS Etc.","2162.0323","23061","52"
"New York","2","Advertising & Marketing","localresponse","NY","9565336","New York","New York City","204","LocalResponse","2152.8937","23274","32"
"Santa Monica","1","Advertising & Marketing","tongal","CA","8417085","California","Los Angeles","205","Tongal","2144.0473","25498","36"
"Fishkill","2","IT Services","novisync-solutions","NY","8517670","New York","Poughkeepsie-Newburgh-Middletown, NY","206","Novisync Solutions","2143.7949","23044","84"
"Boulder","1","Financial Services","tax-guard","CO","4354787","Colorado","Boulder, CO","207","Tax Guard","2140.5432","26057","40"
"Laredo","1","Financial Services","nexgen-property-solutions","TX","5378001","Texas","Laredo, TX","208","Nexgen Property Solutions","2135.5987","25899","12"
"Ramsey","1","Business Products & Services","performtel","MN","2273616","Minnesota","Minneapolis","209","PerformTel","2120.61","25565","120"
"Oxford","2","Construction","rj-allen-associates","MS","26199465","Mississippi","Oxford, MS","210","R.J. Allen & Associates","2117.7132","23172","25"
"St. Petersburg","1","Consumer Products & Services","splash-and-dash-for-dogs-international","FL","2291195","Florida","Tampa","211","Splash and Dash for Dogs International","2117.7004","24913","6"
"Mason","1","Insurance","epremium-insurance","OH","3795474","Ohio","Cincinnati","212","ePremium Insurance","2109.317","25949","17"
"Peoria","2","Education","mcafee-institute","IL","39571912","Illinois","Peoria, IL","213","McAfee Institute","2097.07","22916","15"
"New York","1","Security","idsecurityonlinecom","NY","4898356","New York","New York City","214","IDsecurityonline.com","2093.0319","25983","7"
"Los Angeles","1","Retail","wren","CA","5154056","California","Los Angeles","215","Wren","2092.1892","26595","25"
"Kalamazoo","1","IT Services","newmind-group","MI","15469496","Michigan","Kalamazoo-Portage, MI","216","Newmind Group","2065.3678","24898","16"
"Washington","1","Government Services","obsidian-analysis","DC","9105768","District of Columbia","Washington, DC","217","Obsidian Analysis","2061.3142","26306","43"
"Roy","1","Government Services","universal-synaptics","UT","2149259","Utah","Ogden-Clearfield, UT","218","Universal Synaptics","2042.1898","24959","10"
"Harvey","1","Government Services","global-commerce-and-services","LA","3521801","Louisiana","New Orleans-Metairie-Kenner, LA","219","Global Commerce and Services","2040.9645","26587","13"
"Denver","1","Consumer Products & Services","stoneside-blinds-shades","CO","4893244","Colorado","Denver","220","Stoneside Blinds & Shades","2040.0212","26448","42"
"Bloomingdale","2","IT Services","blue-star-tec","IL","3869970","Illinois","Chicago","221","Blue Star Tec","2033.014","23098","35"
"San Mateo","1","Software","loqate","CA","4464093","California","San Francisco","222","Loqate","2025.7586","25143","22"
"Harrisburg","1","Construction","prespro","NC","3539958","North Carolina","Charlotte","223","PresPro","2011.857","25660","155"
