"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"Secaucus","3","IT Services","microexcel","NJ","20244000","New Jersey","New York City","2721","Microexcel","137.6893","20109","350"
"Bloomfield Hills","5","Financial Services","flexible-plan-investments","MI","33510215","Michigan","Detroit","2722","Flexible Plan Investments","137.5623","13459","77"
"Overland Park","1","Health","propharma-group","KS","35733887","Kansas","Kansas City, MO-KS","2723","ProPharma Group","137.5288","25895","190"
"Barrington","3","Business Products & Services","precious-metal-refining-services","IL","68880810","Illinois","Chicago","2724","Precious Metal Refining Services","137.426","21129","20"
"Denver","2","Construction","emerald-isle-landscaping","CO","7511542","Colorado","Denver","2725","Emerald Isle Landscaping","137.4238","24445","187"
"St. Paul","2","Business Products & Services","advanced-technology-systems","MN","11628973","Minnesota","Minneapolis","2726","Advanced Technology Systems","137.3891","12067","15"
"Alpharetta","2","IT Services","medicus-solutions","GA","3404294","Georgia","Atlanta","2727","Medicus Solutions","137.233","23721","12"
"Lowell","1","Environmental Services","mill-city-environmental","MA","10508058","Massachusetts","Boston","2728","Mill City Environmental","137.0958","25451","46"
"Lake Elsinore","4","Manufacturing","american-fireglass","CA","5326500","California","Riverside-San Bernardino-Ontario, CA","2729","American Fireglass","137.0494","20287","25"
"Export","1","Environmental Services","prism-response","PA","21334019","Pennsylvania","Pittsburgh, PA","2730","PRISM Response","137.0437","26247","190"
"Bedford","2","Human Resources","abba-staffing-and-consulting","TX","13601679","Texas","Dallas","2731","Abba Staffing and Consulting","137.0409","24284","500"
"Elizabeth","1","Business Products & Services","nexcut-shredding","NJ","3796884","New Jersey","New York City","2732","Nexcut Shredding","136.9671","26577","37"
"Needham","3","Construction","construction-coordinators","MA","7992000","Massachusetts","Boston","2733","Construction Coordinators","136.7299","12955","16"
"New York","1","IT Services","myriad-tech-solutions","NY","2276300","New York","New York City","2734","Myriad Tech Solutions","136.6954","24882","16"
"Atlanta","7","IT Services","insight-global","GA","918390882","Georgia","Atlanta","2735","Insight Global","136.5545","787","11561"
